x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref kx ky kt vx_cmd om_cmd df_fa0 df_da1 df_da2 time
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.07
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.08
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.09
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.1
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.11
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.12
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.13
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.14
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.15
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.16
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.17
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.18
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.19
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.2
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.21
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.22
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.23
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.24
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.25
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.26
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.27
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.28
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.29
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.3
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.31
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.32
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.33
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.34
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.35
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.36
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.37
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.38
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.39
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.4
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.41
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.42
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.43
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.44
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.45
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.46
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.47
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.48
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.49
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.5
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.51
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.52
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.53
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.54
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516660601.55
