time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc
11744.632,7.40900664237e-07,-1.7187335678e-06,2.18166178456e-07,3.70450332144e-05,-8.5936678396e-05,-8.88582502939e-05,4.36332356912e-07,9.1816690969e-14,,1.09083093776e-05,2.29541732844e-12,5.45415468878e-06,-3.04571361797e-07,1.71873311835e-06,1.99533118421e-06,3.7045185938e-05,1.09083093776e-05,0.0,0.0
11744.652,-1.19107467875e-06,-5.51285562123e-06,3.54520039991e-07,-9.65987671471e-05,-0.000189706102667,8.95540472054e-05,7.09040079983e-07,1.49202129601e-13,,1.09083093776e-05,2.29541732844e-12,5.45415468878e-06,1.90011483545e-06,5.51285574399e-06,3.40604101601e-07,-9.6598769787e-05,1.09083093776e-05,0.0020154310183,0.00501994163721
11744.671,-1.71571186147e-07,-9.51801676075e-06,3.54520039991e-07,5.09751746289e-05,-0.000200258056972,-0.000435229643889,7.09040079983e-07,1.49202129601e-13,,1.09083093776e-05,2.29541732844e-12,5.45415468878e-06,8.80528548086e-07,9.5180245627e-06,9.04519697958e-06,5.0976915005e-05,1.09083093776e-05,9.99752637187e-06,0.00504732949115
11744.691,8.42957945796e-06,-1.83872450016e-05,6.06017124483e-07,0.000430057532196,-0.000443461412032,-5.83312208761e-06,1.21203424897e-06,3.67261722336e-13,,3.63610233762e-05,2.20354012814e-11,1.81805116881e-05,-7.21770715142e-06,1.83871818008e-05,9.41335650582e-06,0.000430061437894,3.63610233762e-05,0.0,0.00508286965097
11744.711,1.65307710764e-05,-3.25052566955e-05,6.06017124483e-07,0.000405059580949,-0.000705900584745,0.000560356946332,1.21203424897e-06,3.67261722336e-13,,3.63610233762e-05,2.20354012814e-11,1.81805116881e-05,-1.53186588213e-05,3.25052938246e-05,-1.79378242004e-06,0.000405057886928,3.63610233762e-05,0.0,0.0050957538494
11744.731,2.56754492957e-05,-4.73331297662e-05,2.4725500225e-06,0.000457233910958,-0.00074139365352,0.000546918301367,4.94510004501e-06,8.83257616352e-12,,8.36303734104e-05,2.05205880066e-10,4.18151867052e-05,-2.07297179117e-05,4.73334150994e-05,-1.08656155496e-05,0.000457224022086,8.36303734104e-05,0.0,0.00513830588213
11744.751,2.92529531161e-05,-6.69042486822e-05,3.51792982656e-06,0.000178875191015,-0.000978555945775,0.00127860451943,7.03585965312e-06,1.39627233386e-11,,8.36303734104e-05,2.05205880066e-10,4.18151867052e-05,-2.22144901842e-05,6.6905127067e-05,-3.53923261347e-05,0.000178837115017,8.36303734104e-05,0.0,0.00513827990195
11744.772,2.70746580778e-05,-8.40927880016e-05,3.51792982656e-06,-0.000108914751915,-0.000859426965952,0.00117308562463,7.03585965312e-06,1.39627233386e-11,,8.36303734104e-05,2.05205880066e-10,4.18151867052e-05,-2.00335533521e-05,8.409405166e-05,-5.88540386278e-05,-0.000108968355855,8.36303734104e-05,0.0,0.00513440213998
11744.792,2.47977771537e-05,-9.77375915172e-05,4.84813699586e-06,-0.000113844046212,-0.000682240175828,0.00101283768661,9.69627399172e-06,2.35045281849e-11,,0.000145444093505,7.05132952028e-10,7.27220467525e-05,-1.50934271762e-05,9.7738862506e-05,-7.77805851892e-05,-0.000113900418457,0.000145444093505,0.0,0.00516152209906
11744.811,2.45467998426e-05,-0.000110747394406,4.84813699586e-06,-1.25488655534e-05,-0.000650490144407,0.00129883771592,9.69627399172e-06,2.35045281849e-11,,0.000145444093505,7.05132952028e-10,7.27220467525e-05,-1.48384979872e-05,0.000110749030105,-0.000103757339508,-1.26195122713e-05,0.000145444093505,0.0,0.00514205160734
